score,date,content,writer_id,like_count,dislike_count,source
10,2026.06.04 12:44,와... 영화 끝나고 화장실 갔는데 타일 벽 보고 순간 흠칫함 당분간 노란 조명 있는 텅 빈 복도는 못 갈 듯,gjrb****,0,4,관람객
4,2026.06.04 12:16,영상미는 좋았지만 내용이 없어요 뭘얘기하려는지 알겠는데 그정도 아님.,ssak****,16,12,관람객
10,2026.06.04 12:10,응???네??음...,woos****,4,1,관람객
1,2026.06.04 10:49,하 진짜 바이럴마켓팅 넘 심하네 돈아까웠다 18,carr****,40,25,관람객
5,2026.06.04 10:22,초반부 진짜 좋았고 후반부 진짜 별로였음결과적으로 비추,wjsw****,7,5,관람객
1,2026.06.03 23:29,이게 어떻게 8점임? 클레멘타인임?,minj****,59,33,관람객
10,2026.06.03 23:20,진짜 소름돋게 무서워서 벌벌 떨면서 봤습니다,rkdt****,0,5,관람객
10,2026.06.03 22:59,공포영화를 평소에 즐겨보는데 근래 본 영화 중에 제일 무섭습니다. 가장 최근에 본 공포영화가 너무 실망해서 안보려다가 본건데 재밌고 무섭고 신선했어요.굳!,tpdu****,1,2,관람객
10,2026.06.03 22:05,여름에 딱 보기 좋은 듯! 재밌게 잘 봤음,korg****,0,2,관람객
10,2026.06.03 20:58,관객들 모두는 2시간 동안 각자의 백룸을 헤매다 왔겠지.,jhsn****,0,2,관람객
1,2026.06.03 20:36,중고딩이 AI로 영화 혼자 만들어도 이거보단 소재 잘살리겟다..,inte****,28,17,관람객
8,2026.06.03 19:06,무섭네요 누가 그랬나요 갑툭튀 없이도 무섭다고 갑툭튀 꽤 나와요 스토리가 똥망이긴한데 연출과 공간미술은 좋아요 음악도 영화의 긴장에 한몫했어요 개연성이나 스토리의 탄탄함은 없지만 보이는것만으로도 공포 스릴러로써는 좋다고 생각해요 개인적으로 8점이 적당한 것 같아요,hide****,2,2,관람객
10,2026.06.03 17:55,계속되는 긴장감 때문에 손에 땀 흘리면서 봤네요... 평소에 겁 없다고 생각했는데 이 영화는 확실히 달라요... 추천!!,sksm****,2,3,관람객
10,2026.06.03 17:50,갑툭튀 없는데도 무서웠고 꽤 재밌게 봤음,silk****,1,2,관람객
6,2026.06.03 17:49,백룸에 대해 잘 모르는데도 잘 봤습니다,eiei****,3,1,관람객
10,2026.06.03 17:41,대놓고 무섭게 놀래키는 공포영화 아니고 연출도 좋았어요,leed****,0,2,관람객
10,2026.06.03 17:34,생각했던거보다 심오하고 재밌었어요 또 보고싶어요!!,r451****,0,3,관람객
2,2026.06.03 17:33,나 영화 평점 첨 해보는데 이영화땜에 함진짜 배급사 너무 했다 이영화 땜에 네이버 영화 리뷰도 못믿겠다2점도 아깝다 진짜,sams****,33,28,관람객
10,2026.06.03 17:02,대놓고 무섭게 놀래키는 공포영화는 아니고 분위기로 압박하는 느낌이라 은근 무서웠습니다 연출도 좋았어요 추천,hhy0****,0,3,관람객
