movie,site,rating,review,date
백룸,megabox,10,하도 혹평이 많길래 기대 안 하고 봤는데 ㅈㅉ너무 재밌었음ㅋㅋㅋ 원래 백룸 세계관? 하나도 모르고 봤는데도 걍 재밌게 봤어요ㅎㅎ 영상미랑 특히 bgm 진짜 좋았움!,2026.07.01
백룸,megabox,6,"백룸의 구조가 신기했지만, 후반부 내용은 이해가 가지 않는다",2026.07.01
백룸,megabox,10,재미있었습니다. 깜짝 놀랄 부분이 많아요,2026.07.01
백룸,megabox,7,이해하기 조금 어렵긴한데 나쁘진 않았음 감독 나이를 알고보니 연출이 mz스럽다는 느낌이 강함,2026.07.01
백룸,megabox,7,흠 한번쯤 보는 건 괜찮을 거 같은데 굳이 추천은 안합니다!,2026.07.01
백룸,megabox,5,좀더 극한으로 갔으면 어땠을까...파운드푸티지 방식을 적극 활용했더라면...,2026.07.01
백룸,megabox,8,생각보다 잔혹했긴했는데 환한 곳에서 주는 공포 ㄷㄷ,2026.07.01
백룸,megabox,10,재미있게 관람했어요,2026.07.01
백룸,megabox,7,그냥저냥 볼만했어요. 친구들과 심야영화로 봄,2026.07.01
백룸,megabox,7,어떠한의미를품고있을까,2026.07.01
백룸,megabox,10,간만에본영화중에최고에영,2026.07.01
백룸,megabox,10,누가안무섭다그랬어 ㅈㄴ무서운데,2026.07.01
백룸,megabox,10,백룸은 신선한 소재로 다가왔다,2026.07.01
백룸,megabox,2,정신과 의사가 레전드 정신병원에 갇히다,2026.06.30
백룸,megabox,7,피곤할때보면 너무 어지럽고 힘들어요,2026.06.30
백룸,megabox,5,무의식과 실재 그 사이,2026.06.30
백룸,megabox,10,와 재밌다!!! 게임한 사람은 완전 강추합니다,2026.06.30
백룸,megabox,10,빽룸 그곳을 돌아보지 마라,2026.06.30
백룸,megabox,6,해석이 불침절해서 아쉬웠던 영화,2026.06.30
백룸,megabox,10,오....심오해요..,2026.06.30
백룸,megabox,4,개연성 부족하고 무섭지도 않음. 백룸 특유의 기괴한 분위기를 노렸으나 실패함. 백룸에 인물들이 대체 왜 들어가는지 개연성이 없으니 몰입안됨. 딱 백룸의 개념만 가볍게 알수있는 수준,2026.06.30
백룸,megabox,7,반은 졸면서 하품 나옴~ 난해한 스토리,2026.06.30
백룸,megabox,4,생각보다 별로 무서운건 없었고 스토리가 애매했어요,2026.06.30
백룸,megabox,8,극장에서 다 나가주세요,2026.06.30
백룸,megabox,9,이 영화를 보고 다락방이 있는 집에 들어가지 못하고 엄마 아빠를 보러 막차 타고 본가로 내려갔습니다,2026.06.30
